BRAND AND MODEL	MODEL	SHOWNAME	FOLDER	EXTR2	MKUBIFS_ARGS	UBINIZE_ARGS	ROOTNAME	KERNELNAME	ACTION
GI ET11000 4k	et1x000	GI ET11000	/et1x000				rootfs.tar.bz2	kernel.bin	noforce
Gigablue 800SE	gb800se	Gigablue 800SE	/gigablue/se	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800SEPlus	gb800seplus	Gigablue 800SEPlus	/gigablue/seplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
GigaBlue 800 Solo	gb800solo	GigaBlue 800 Solo	/gigablue/solo	/gigablue	-e131072 -l -p125829120	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800UE	gb800ue	Gigablue 800UE	/gigablue/ue	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800UEPlus	gb800ueplus	Gigablue 800UEPlus	/gigablue/ueplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue IP 4K	gbip4k	Gigablue IP 4K	/gigablue/ip4k	/gigablue			rootfs.tar.bz2	kernel.bin	none
Gigablue IPBox	gbipbox	Gigablue IPBox	/gigablue/ipbox	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Quad	gbquad	Gigablue Quad	/gigablue/quad	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Quad 4K	gbquad4k	Gigablue Quad 4K	/gigablue/quad4k	/gigablue			rootfs.tar.bz2	kernel.bin	force
Gigablue QuadPlus	gbquadplus	Gigablue QuadPlus	/gigablue/quadplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Trio 4K	gbtrio4k	Gigablue Trio 4K	/gigablue/trio4k	/gigablue			rootfs.tar.bz2	kernel.bin	none
Gigablue UE 4K	gbue4k	Gigablue UE 4K	/gigablue/ue4k	/gigablue			rootfs.tar.bz2	kernel.bin	force
Gigablue UltraSE	gbultrase	Gigablue UltraSE	/gigablue/ultrase	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue UltraUE	gbultraue	Gigablue UltraUE	/gigablue/ultraue	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue UltraUEH	gbultraueh	Gigablue UltraUEH	/gigablue/ultraueh	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue X1	gbx1	Gigablue X1	/gigablue/x1	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue X2	gbx2	Gigablue X2	/gigablue/x2	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue X3	gbx3	Gigablue X3	/gigablue/x3	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue X3 4K	gbx34k	Gigablue X3 4K	/gigablue/x34k	/gigablue			rootfs.tar.bz2	kernel.bin	force
Gigablue X3H	gbx3h	Gigablue X3H	/gigablue/x3h	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 11	hd11	HD 11	/hd11		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 1100	hd1100	HD 1100	/hd1100		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 1200	hd1200	HD 1200	/hd1200		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 1265	hd1265	HD 1265	/hd1265		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 1500	hd1500	HD 1500	/hd1500		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 2400	hd2400	HD 2400	/hd2400		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 500C	hd500c	HD 500c	/hd500c		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 51	hd51	HD 51	/hd51				rootfs.tar.bz2	kernel.bin	none
HD 530C	hd530c	HD 530c	/hd530c		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
HD 60	hd60	HD 60	/hd60				rootfs.tar.bz2	uImage	none
HD 61	hd61	HD 61	/hd61				rootfs.tar.bz2	uImage	none
HDBox EniBox	enibox	HDBox EniBox	/enibox		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Iqon Force 1	force1	Iqon Force 1	/update/force1/cfe	/update/force1	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 1 Plus	force1plus	Iqon Force 1 Plus	/update/force1plus/cfe	/update/force1plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 2	force2	Iqon Force 2	/update/force2solid/cfe	/update/force2solid	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 2 Nano	force2nano	Iqon Force 2 Nano	/update/force2nano/cfe	/update/force2nano	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 2 Plus	force2plus	Iqon Force 2 Plus	/update/force2plus/cfe	/update/force2plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 2 Plus HV	force2plushv	Iqon Force 2 Plus HV	/update/force2plushv/cfe	/update/force2plushv	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 2 SE	force2se	Iqon Force 2 SE	/update/force2se/cfe	/update/force2se	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon Force 3 UHD	force3uhd	Iqon Force 3 UHD	/update/force3uhd	/update			rootfs.tar.bz2	oe_kernel.bin	none
Iqon Force 3 UHD Plus	force3uhdplus	Iqon Force 3 UHD Plus	/update/force3uhdplus	/update			rootfs.tar.bz2	oe_kernel.bin	none
Iqon Force 4	force4	Iqon Force 4	/update/force4	/update			rootfs.tar.bz2	oe_kernel.bin	none
Iqon IOS-100HD	iqonios100hd	Iqon IOS-100HD	/update/ios100/cfe	/update/ios100	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon IOS-200HD	iqonios200hd	Iqon IOS-200HD	/update/ios200/cfe	/update/ios200	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon IOS-300HD	iqonios300hd	Iqon IOS-300HD	/update/ios300/cfe	/update/ios300	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Iqon IOS-300HDV2	iqonios300hdv2	Iqon IOS-300HDV2	/update/ios300new/cfe	/update/ios300new	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Ixuss One	ixussone	Ixuss One	/medialink/ixussone	/medialink	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Ixuss Zero	ixusszero	Ixuss Zero	/medialink/ixusszero	/medialink	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
IZIBox X3	iziboxx3	IZIBox X3	/izibox/x3	/izibox	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Jepssen MediaBox HD LX	mediabox	Jepssen MediaBox HD LX	/update/mediabox/cfe	/update/mediabox	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Max-Digital XP1000	xp1000	Max-Digital XP1000	/xp1000		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
MaxyTec Multibox	multibox	MaxyTec Multibox	/multibox				rootfs.tar.bz2	uImage	none
MaxyTec Multibox Plus	multiboxplus	MaxyTec Multibox Plus	/plus				rootfs.tar.bz2	uImage	none
Miraclebox Hybrid	mbhybrid	Miraclebox Hybrid	/miraclebox/minihybrid	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Micro	mbmicro	Miraclebox Micro	/miraclebox/micro	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox MicroV2	mbmicrov2	Miraclebox MicroV2	/miraclebox/microv2	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Mini	mbmini	Miraclebox Mini	/miraclebox/mini	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Mini Plus	mbminiplus	Miraclebox MiniPlus 	/miraclebox/miniplus	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Twin	mbtwin	Miraclebox Twin	/miraclebox/twin	/miraclebox	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Twin Plus	mbtwinplus	Miraclebox Twin Plus	/miraclebox/twinplus	/miraclebox	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Miraclebox Ultra	mbultra	Miraclebox Ultra	/miraclebox/ultra	/miraclebox	-m 4096 -e 1040384 -c 1984	-m 4096 -p 1024KiB	rootfs.bin	kernel.bin	noforce
MixOS F5	ebox5000	MixOS F5	/ebox/7403	/ebox	-m 2048 -e 126976 -c 1024 -F	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	none
MixOS F5 mini	ebox5100	MixOS F5 mini	/ebox/7403	/ebox	-m 2048 -e 126976 -c 1024 -F	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	none
MixOS F7	ebox7358	MixOS F7	/ebox/7358	/ebox	-m 2048 -e 126976 -c 1024 -F	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	none
MixOS Lumi	eboxlumi	MixOS Lumi	/ebox/7403	/ebox	-m 2048 -e 126976 -c 1024 -F	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	none
Odin M9	maram9	Odin M9	/odinm9		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF98	sf98	Octagon SF98	/sf98		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF108	sf108	Octagon SF108	/sf108		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF128	sf128	Octagon SF128	/sf128		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF138	sf138	Octagon SF138	/sf138		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF208	sf208	Octagon SF208	/sf208		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF228	sf228	Octagon SF228	/sf228		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF238	sf238	Octagon SF238	/sf238		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF3038	sf3038	Octagon SF3038	/sf3038		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Octagon SF4008	sf4008	Octagon SF4008	/sf4008				rootfs.tar.bz2	kernel.bin	noforce
Octagon SF5008	sf5008	Octagon SF5008	/sf5008				rootfs.tar.bz2	kernel.bin	noforce
Octagon SF8008	sf8008	Octagon SF8008	/octagon/sf8008	/octagon			rootfs.tar.bz2	kernel.bin	none
Octagon SF8008M	sf8008m	Octagon SF8008M	/octagon/sf8008m	/octagon			rootfs.tar.bz2	kernel.bin	none
Opticum Odin2 Hybrid	odin2hybrid	Opticum Odin2 Hybrid	/odin2/hybrid	/odin2	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Opticum Odin2 Plus	odinplus	Opticum Odin2 Plus	/odinplus		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Opticum Twin	opticumtt	Opticum Twin	/opticum/tt	/opticum	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Protek 4K	protek4k	Protek 4K	/protek4k				rootfs.tar.bz2	kernel.bin	noforce
Protek 4K X1	protek4kx1	Protek 4K X1	/e2/update	/e2	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Protek 9900LX	9900lx	Protek 9900LX	/9900lx		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Protek 9910LX	9910lx	Protek 9910LX	/9910lx		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Protek 9911LX	9911lx	Protek 9911LX	/9911lx		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Protek 9920LX	9920lx	Protek 9920LX	/9920lx		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Qviart Lunix	lunix	Qviart Lunix	/update/lunix/cfe	/update/lunix	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Qviart Lunix4K	lunix4k	Qviart Lunix4K	/update/lunix4k	/update			rootfs.tar.bz2	oe_kernel.bin	none
Qviart Lunix3 4K	lunix34k	Qviart Lunix3 4K	/update/lunix3-4k	/update			rootfs.tar.bz2	oe_kernel.bin	none
Qviart Lunix Co	lunixco	Qviart Lunix Co	/update/lunixco/cfe	/update/lunixco	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Red Eagle SingleBox LCD	singleboxlcd	Red Eagle SingleBox LCD	/redeagle/singleboxlcd	/redeagle	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Red Eagle TwinBox LCD	twinboxlcd	Red Eagle TwinBox LCD	/redeagle/twinboxlcd	/redeagle	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Red Eagle TwinBox LCD CI	twinboxlcdci5	Red Eagle TwinBox LCD CI	/redeagle/twinboxlcd	/redeagle	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Relook Mago	mago	Relook Mago	/mago		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
SAB Alpha Triple	alphatriplehd	SAB Alpha Triple	/sab_alpha_triple		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Sezam 1000-HD	sezam1000hd	Sezam 1000-HD	/hde		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Sezam 5000-HD	sezam5000hd	Sezam 5000-HD	/hdx		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Sezam Marvel	sezammarvel	Sezam Marvel	/hdp		-m 4096 -e 1040384 -c 1984	-m 4096 -p 1024KiB	rootfs.bin	kernel.bin	noforce
Sogno 8800HD	sogno8800hd	Sogno 8800HD	/sogno/8800hd	/sogno	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Space Black Widow-X	bwidowx	Space Black Widow-X	/bwidowx		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Space Black Widow-X2	bwidowx2	Space Black Widow-X2	/bwidowx2		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Spycat	spycat	Spycat	/spycat		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Spycat 4K	spycat4k	Spycat 4K	/spycat4k				rootfs.tar.bz2	kernel.bin	noforce
Spycat 4K combo	spycat4kcombo	Spycat 4K combo	/spycat4k				rootfs.tar.bz2	kernel.bin	noforce
Spycat 4K mini	spycat4kmini	Spycat 4K mini	/spycat4kmini				rootfs.tar.bz2	kernel.bin	noforce
