BRAND AND MODEL	MODEL	SHOWNAME	FOLDER	EXTR2	MKUBIFS_ARGS	UBINIZE_ARGS	ROOTNAME	KERNELNAME	ACTION
Vivant Dinobot H265	dinoboth265	Vivant Dinobot H265	/dinobot/u41	/dinobot	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Vivant Dinobot U43	dinobotu43	Vivant Dinobot U43	/dinobot/u43	/dinobot	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Vivant Dinobot U55	dinobotu55	Vivant Dinobot U55	/dinobot/u55	/dinobot	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Vu+ Duo	vuduo	Vu+ Duo	/vuplus/duo	/vuplus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	root_cfe_auto.jffs2	kernel_cfe_auto.bin	none
Vu+ Duo 2	vuduo2	Vu+ Duo 2	/vuplus/duo2	/vuplus	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	reboot
Vu+ Duo 4K	vuduo4k	Vu+ Duo 4K	/vuplus/duo4k	/vuplus			rootfs.tar.bz2	kernel_auto.bin	force
Vu+ Solo	vusolo	Vu+ Solo	/vuplus/solo	/vuplus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	root_cfe_auto.jffs2	kernel_cfe_auto.bin	none
Vu+ Solo 2	vusolo2	Vu+ Solo 2	/vuplus/solo2	/vuplus	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	reboot
Vu+ Solo 4K	vusolo4k	Vu+ Solo 4K	/vuplus/solo4k	/vuplus			rootfs.tar.bz2	kernel_auto.bin	reboot
Vu+ Solo SE	vusolose	Vu+ Solo SE	/vuplus/solose	/vuplus	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	force
Vu+ Ultimo	vuultimo	Vu+ Ultimo	/vuplus/ultimo	/vuplus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	root_cfe_auto.jffs2	kernel_cfe_auto.bin	reboot
Vu+ Ultimo 4K	vuultimo4k	Vu+ Ultimo 4K	/vuplus/ultimo4k	/vuplus			rootfs.tar.bz2	kernel_auto.bin	reboot
Vu+ Uno	vuuno	Vu+ Uno	/vuplus/uno	/vuplus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	root_cfe_auto.jffs2	kernel_cfe_auto.bin	reboot
Vu+ Uno 4K	vuuno4k	Vu+ Uno 4K	/vuplus/uno4k	/vuplus			rootfs.tar.bz2	kernel_auto.bin	force
Vu+ Uno 4K SE	vuuno4kse	Vu+ Uno 4K SE	/vuplus/uno4kse	/vuplus			rootfs.tar.bz2	kernel_auto.bin	force
Vu+ Zero	vuzero	Vu+ zero	/vuplus/zero	/vuplus	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	root_cfe_auto.bin	kernel_cfe_auto.bin	force
Vu+ Zero 4K	vuzero4k	Vu+ zero 4K	/vuplus/zero4k	/vuplus			rootfs.tar.bz2	kernel_auto.bin	force
WorldVision Force 1	worldvisionf1	WorldVision Force 1	/update/force1/cfe	/update/force1	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
WorldVision Force 1 Plus	worldvisionf1plus	WorldVision Force 1 Plus	/update/force1plus/cfe	/update/force1plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	noneanadol4k
WWIO BRE2ZE	bre2ze	WWIO BRE2ZE	/bre2ze		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
WWIO BRE2ZE 4K	bre2ze4k	WWIO BRE2ZE 4K	/bre2ze4k				rootfs.tar.bz2	kernel.bin	force
WWIO BRE2ZE T2C	bre2zet2c	WWIO BRE2ZE T2C	/bre2ze_t2c		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xpeed LX	xpeedlx	Xpeed LX	/xpeedlx		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xpeed LX3	xpeedlx3	Xpeed LX3	/xpeedlx3		-m 4096 -e 1040384 -c 1984	-m 4096 -p 1024KiB 	rootfs.bin	kernel.bin	noforce
Xpeed LX Class C/S2	xpeedc	Xpeed LX Class C/S2	/xpeedc		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xsarius Fusion HD	fusionhd	Xsarius Fusion HD	/update/fusionhd/cfe	/update/fusionhd	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Xsarius Fusion HD SE	fusionhdse	Xsarius Fusion HD SE	/update/fusionhdse/cfe	/update/fusionhdse	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Xsarius Galaxy 4K	galaxy4k	Xsarius Galaxy 4K	/update/galaxy4k	/update			rootfs.tar.bz2	oe_kernel.bin	force
Xsarius Pure HD	purehd	Xsarius Pure HD	/update/purehd/cfe	/update/purehd	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Xsarius Pure HD SE	purehdse	Xsarius Pure HD SE	/update/purehdse/cfe	/update/purehdse	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Xsarius Revo 4K	revo4k	Xsarius Revo 4K	/update/revo4k	/update			rootfs.tar.bz2	oe_kernel.bin	force
Xtrend 10000	et10000	Xtrend ET10000	/et10000		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xtrend 13000	et13000	Xtrend ET13000	/et13000				rootfs.tar.bz2	kernel.bin	noforce
Xtrend 4X00	et4x00	Xtrend ET4X00	/et4x00		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xtrend 5X00	et5x00	Xtrend ET5X00	/et5x00		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xtrend 6X00	et6x00	Xtrend ET6X00	/et6x00		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Xtrend 7X00	et7x00	Xtrend ET7X00	/et7x00		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
